MonitoringLocationIdentifier,CharacteristicName,ResultMeasure.MeasureUnitCode,count,begin_datetime,end_datetime,max,station_nm,agency_cd,site_no,dec_lat_va,dec_lon_va,hucCd,OrganizationIdentifier,OrganizationFormalName,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,ProviderName,begin_date,end_date,date_range_interval,date_range_yrs
USGS-09498500,Nitrogen,mg/l,38,NA,NA,93.1,"SALT RIVER NEAR ROOSEVELT, AZ",USGS-AZ,USGS-09498500,33.6194949,-110.92150370000002,15060103,USGS-AZ,USGS Arizona Water Science Center,"SALT RIVER NEAR ROOSEVELT, AZ",Stream,NA,15060103,4306,sq mi,NA,NA,33.6194949,-110.92150370000002,24000,10,seconds,Interpolated from MAP.,NAD83,2177.14,feet,10,feet,Unknown.,NGVD29,US,4,007,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2002-08-05,2014-04-17,369187200,11.698836413415469
USGS-09415000,Nitrogen,NA,12,NA,NA,NA,"VIRGIN RV AT LITTLEFIELD, AZ",USGS-NV,USGS-09415000,36.891643699999996,-113.9244098,15010010,USGS-NV,USGS Nevada Water Science Center,"VIRGIN RV AT LITTLEFIELD, AZ",Stream,NA,15010010,5090,sq mi,NA,NA,36.891643699999996,-113.9244098,24000,1,seconds,Interpolated from MAP.,NAD83,1763.6799999999998,feet,1,feet,Level or other surveyed method.,NGVD29,US,4,015,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2007-03-09,2018-02-28,346377600,10.976043805612594
CEDEN-305CHI,Nitrogen,mg/l,340,NA,NA,32.5,Pajaro River at Chittenden Gap,CEDEN,CEDEN-305CHI,36.9003,-121.596,18060002,CEDEN,California State Water Resources Control Board,Pajaro River at Chittenden Gap,River/Stream,NA,18060002,NA,NA,NA,NA,36.9003,-121.596,NA,NA,NA,Unknown,NAD83,0,ft,NA,NA,Other,UNKWN,US,6,069,NA,NA,NA,NA,NA,NA,NA,NA,STORET,1997-12-18,2019-06-27,679190400,21.522245037645444
CEDEN-305COR,Nitrogen,mg/l,248,NA,NA,18.883,Salsipuedes Creek downstream of Corralitos Creek,CEDEN,CEDEN-305COR,36.9128,-121.74400000000001,18060002,CEDEN,California State Water Resources Control Board,Salsipuedes Creek downstream of Corralitos Creek,River/Stream,NA,18060002,NA,NA,NA,NA,36.9128,-121.74400000000001,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,087,NA,NA,NA,NA,NA,NA,NA,NA,STORET,1997-12-18,2019-06-27,679190400,21.522245037645444
CEDEN-305FRA,Nitrogen,mg/l,248,NA,NA,20.107000000000006,Pajaro River at Frazier Lake Road,CEDEN,CEDEN-305FRA,36.9634,-121.49100000000001,18060002,CEDEN,California State Water Resources Control Board,Pajaro River at Frazier Lake Road,River/Stream,NA,18060002,NA,NA,NA,NA,36.9634,-121.49100000000001,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,069,NA,NA,NA,NA,NA,NA,NA,NA,STORET,1998-02-10,2019-06-27,674524800,21.374401095140314
CEDEN-309GRN,Nitrogen,mg/l,184,NA,NA,16.1,Salinas River Elm Road in Greenfield,CEDEN,CEDEN-309GRN,36.3377,-121.205,18060005,CEDEN,California State Water Resources Control Board,Salinas River Elm Road in Greenfield,River/Stream,NA,18060005,NA,NA,NA,NA,36.3377,-121.205,NA,NA,NA,Unknown,NAD83,220,ft,NA,NA,Other,UNKWN,US,6,053,NA,NA,NA,NA,NA,NA,NA,NA,STORET,1999-02-02,2019-06-26,643593600,20.39425051334702
CEDEN-309GAB,Nitrogen,mg/l,94,NA,NA,135.6,Gabilan Creek @ Independence Rd and East Boranda Rd,CEDEN,CEDEN-309GAB,36.69220000000001,-121.62899999999999,18060015,CEDEN,California State Water Resources Control Board,Gabilan Creek @ Independence Rd and East Boranda Rd,River/Stream,NA,18060015,NA,NA,NA,NA,36.69220000000001,-121.62899999999999,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,053,NA,NA,NA,NA,NA,NA,NA,NA,STORET,1999-02-01,2019-05-15,640051200,20.281998631074607
CEDEN-309OLD,Nitrogen,mg/l,560,NA,NA,65.3,Old Salinas River at Monterey Dunes Way,CEDEN,CEDEN-309OLD,36.77230000000001,-121.788,18060015,CEDEN,California State Water Resources Control Board,Old Salinas River at Monterey Dunes Way,Estuary,NA,18060015,NA,NA,NA,NA,36.77230000000001,-121.788,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,053,NA,NA,NA,NA,NA,NA,NA,NA,STORET,1999-03-29,2019-06-27,638928000,20.24640657084188
CEDEN-309MOR,Nitrogen,mg/l,304,NA,NA,10.014,Moro Cojo Slough @ Hwy 1,CEDEN,CEDEN-309MOR,36.796200000000006,-121.782,18060015,CEDEN,California State Water Resources Control Board,Moro Cojo Slough @ Hwy 1,Estuary,Sample site is on upstream side of Highway 1,18060015,NA,NA,NA,NA,36.796200000000006,-121.782,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,053,NA,NA,NA,NA,NA,NA,NA,NA,STORET,1999-03-29,2019-06-27,638928000,20.24640657084188
CEDEN-309SAC,Nitrogen,mg/l,126,NA,NA,8.794,Salinas River at Chualar River Road,CEDEN,CEDEN-309SAC,36.553799999999995,-121.548,18060005,CEDEN,California State Water Resources Control Board,Salinas River at Chualar River Road,River/Stream,NA,18060005,NA,NA,NA,NA,36.553799999999995,-121.548,NA,NA,NA,Unknown,NAD83,85,ft,NA,NA,Other,UNKWN,US,6,053,NA,NA,NA,NA,NA,NA,NA,NA,STORET,1999-02-01,2019-04-23,638150400,20.2217659137577
CEDEN-312SMA,Nitrogen,mg/l,508,NA,NA,50.93,Santa Maria River above Estuary,CEDEN,CEDEN-312SMA,34.9638,-120.642,18060008,CEDEN,California State Water Resources Control Board,Santa Maria River above Estuary,River/Stream,NA,18060008,NA,NA,NA,NA,34.9638,-120.642,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,083,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2000-01-12,2019-06-25,613785600,19.449691991786445
CEDEN-312ORI,Nitrogen,mg/l,292,NA,NA,108.3,Orcutt Creek @ Hwy 1,CEDEN,CEDEN-312ORI,34.941399999999994,-120.573,18060008,CEDEN,California State Water Resources Control Board,Orcutt Creek @ Hwy 1,River/Stream,NA,18060008,NA,NA,NA,NA,34.941399999999994,-120.573,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,083,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2000-01-12,2019-06-25,613785600,19.449691991786445
CEDEN-312ORC,Nitrogen,mg/l,290,NA,NA,61.1,Orcutt Creek at sand plant above Santa Maria River,CEDEN,CEDEN-312ORC,34.95759999999999,-120.631,18060008,CEDEN,California State Water Resources Control Board,Orcutt Creek at sand plant above Santa Maria River,River/Stream,NA,18060008,NA,NA,NA,NA,34.95759999999999,-120.631,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,083,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2000-01-12,2019-06-25,613785600,19.449691991786445
CEDEN-312OFC,Nitrogen,mg/l,280,NA,NA,134.1,Oso Flaco Creek at Oso Flaco Lake Road,CEDEN,CEDEN-312OFC,35.0164,-120.586,18060006,CEDEN,California State Water Resources Control Board,Oso Flaco Creek at Oso Flaco Lake Road,River/Stream,NA,18060006,NA,NA,NA,NA,35.0164,-120.586,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,079,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2000-01-12,2019-06-25,613785600,19.449691991786445
CEDEN-312MSD,Nitrogen,mg/l,276,NA,NA,265.7,Main Street Canal at Main Street Crossing,CEDEN,CEDEN-312MSD,34.9552,-120.48700000000001,18060008,CEDEN,California State Water Resources Control Board,Main Street Canal at Main Street Crossing,River/Stream,NA,18060008,NA,NA,NA,NA,34.9552,-120.48700000000001,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,083,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2000-01-12,2019-06-25,613785600,19.449691991786445
CEDEN-312OFN,Nitrogen,mg/l,264,NA,NA,61.59600000000001,Little Oso Flaco Creek @ railroad trestles,CEDEN,CEDEN-312OFN,35.022800000000004,-120.586,18060006,CEDEN,California State Water Resources Control Board,Little Oso Flaco Creek @ railroad trestles,River/Stream,"Sample site is located on private property, no public access",18060006,NA,NA,NA,NA,35.022800000000004,-120.586,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,079,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2000-02-03,2019-06-25,611884800,19.389459274469534
CEDEN-312SMI,Nitrogen,mg/l,44,NA,NA,52.85,Santa Maria River at Highway 1,CEDEN,CEDEN-312SMI,34.977199999999996,-120.57,18060008,CEDEN,California State Water Resources Control Board,Santa Maria River at Highway 1,River/Stream,NA,18060008,NA,NA,NA,NA,34.977199999999996,-120.57,NA,NA,NA,Unknown,NAD83,72,ft,NA,NA,Other,UNKWN,US,6,083,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2000-01-12,2019-01-17,600048000,19.01437371663245
USGS-11074000,Nitrogen,mg/l,304,NA,NA,1.06,SANTA ANA R BL PRADO DAM CA,USGS-CA,USGS-11074000,33.8833488,-117.64532960000001,18070203,USGS-CA,USGS California Water Science Center,SANTA ANA R BL PRADO DAM CA,Stream,NA,18070203,2258,sq mi,1490,sq mi,33.8833488,-117.64532960000001,24000,5,seconds,Interpolated from MAP.,NAD83,449,feet,10,feet,Interpolated from topographic map.,NGVD29,US,6,065,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2000-10-19,2019-07-17,591408000,18.740588637919227
CEDEN-314SYN,Nitrogen,mg/l,366,NA,NA,73.6,Santa Ynez River at 13th Street,CEDEN,CEDEN-314SYN,34.6766,-120.553,18060010,CEDEN,California State Water Resources Control Board,Santa Ynez River at 13th Street,River/Stream,"Sample site is located on Vandenberg Air force Base property, access permission required",18060010,NA,NA,NA,NA,34.6766,-120.553,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,083,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2001-01-18,2019-06-26,581731200,18.433949349760436
CEDEN-314SYL,Nitrogen,mg/l,86,NA,NA,10.067,Santa Ynez River at Highway 246,CEDEN,CEDEN-314SYL,34.6439,-120.43,18060010,CEDEN,California State Water Resources Control Board,Santa Ynez River at Highway 246,River/Stream,NA,18060010,NA,NA,NA,NA,34.6439,-120.43,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,083,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2001-01-18,2019-05-22,578707200,18.338124572210816
USGS-11303500,Nitrogen,mg/l,502,NA,NA,1.08,SAN JOAQUIN R NR VERNALIS CA,USGS-CA,USGS-11303500,37.6760406,-121.26632930000001,18040003,USGS-CA,USGS California Water Science Center,SAN JOAQUIN R NR VERNALIS CA,Stream,NA,18040003,13539,sq mi,NA,NA,37.6760406,-121.26632930000001,24000,1,seconds,Interpolated from MAP.,NAD83,25,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,6,077,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2001-04-04,2019-08-05,578620800,18.33538672142368
CEDEN-314SYF,Nitrogen,mg/l,180,NA,NA,28.3,Santa Ynez River at Floradale Rd,CEDEN,CEDEN-314SYF,34.67210000000001,-120.492,18060010,CEDEN,California State Water Resources Control Board,Santa Ynez River at Floradale Rd,River/Stream,NA,18060010,NA,NA,NA,NA,34.67210000000001,-120.492,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,083,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2001-01-18,2019-04-29,576720000,18.275154004106778
USGS-11447650,Nitrogen,mg/l,300,NA,NA,0.457,SACRAMENTO R A FREEPORT CA,USGS-CA,USGS-11447650,38.4560195,-121.5013437,18020163,USGS-CA,USGS California Water Science Center,SACRAMENTO R A FREEPORT CA,Stream,NA,18020163,NA,NA,NA,NA,38.4560195,-121.5013437,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,6,067,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2001-04-12,2019-06-24,574300800,18.198494182067076
CEDEN-106WE0505,Nitrogen,mg/l,12,NA,NA,1.62,Stuart Fork ~2.4mi E Hwy 36,CEDEN,CEDEN-106WE0505,40.8624,-122.902,18010211,CEDEN,California State Water Resources Control Board,Stuart Fork ~2.4mi E Hwy 36,River/Stream,NA,18010211,NA,NA,NA,NA,40.8624,-122.902,NA,NA,NA,Unknown,NAD83,906,m,NA,NA,Other,UNKWN,US,6,105,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2000-08-09,2018-09-04,570240000,18.069815195071868
CEDEN-305THU,Nitrogen,mg/l,308,NA,NA,34.12000000000001,Pajaro River at Thurwachter Bridge,CEDEN,CEDEN-305THU,36.879799999999996,-121.792,18060002,CEDEN,California State Water Resources Control Board,Pajaro River at Thurwachter Bridge,River/Stream,NA,18060002,NA,NA,NA,NA,36.879799999999996,-121.792,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,053,NA,NA,NA,NA,NA,NA,NA,NA,STORET,1997-12-18,2015-12-17,567907200,17.995893223819298
CEDEN-313SAE,Nitrogen,mg/l,8,NA,NA,17.04,San Antonio Creek at San Antonio Road East,CEDEN,CEDEN-313SAE,34.7824,-120.529,18060009,CEDEN,California State Water Resources Control Board,San Antonio Creek at San Antonio Road East,River/Stream,NA,18060009,NA,NA,NA,NA,34.7824,-120.529,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,083,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2001-03-06,2019-02-25,567216000,17.97399041752224
CEDEN-309ALD,Nitrogen,mg/l,104,NA,NA,98.78,Salinas Reclamation Canal @ Boranda Rd,CEDEN,CEDEN-309ALD,36.690200000000004,-121.67999999999999,18060015,CEDEN,California State Water Resources Control Board,Salinas Reclamation Canal @ Boranda Rd,River/Stream,NA,18060015,NA,NA,NA,NA,36.690200000000004,-121.67999999999999,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,053,NA,NA,NA,NA,NA,NA,NA,NA,STORET,1999-02-01,2016-08-18,553651200,17.5441478439425
CEDEN-310PRE,Nitrogen,mg/l,314,NA,NA,32.876,Prefumo Creek  @ Calle Joaquin,CEDEN,CEDEN-310PRE,35.246900000000004,-120.68199999999999,18060006,CEDEN,California State Water Resources Control Board,Prefumo Creek  @ Calle Joaquin,River/Stream,NA,18060006,NA,NA,NA,NA,35.246900000000004,-120.68199999999999,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,079,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2002-01-15,2019-06-25,550368000,17.44010951403148
CEDEN-403WE0534,Nitrogen,mg/l,10,NA,NA,0.62,Piru Creek 1.3 miles upstream from Fish Creek,CEDEN,CEDEN-403WE0534,34.6136,-118.78,18070102,CEDEN,California State Water Resources Control Board,Piru Creek 1.3 miles upstream from Fish Creek,River/Stream,NA,18070102,NA,NA,NA,NA,34.6136,-118.78,NA,NA,NA,Unknown,NAD83,657,m,NA,NA,Other,UNKWN,US,6,037,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2000-06-20,2017-07-17,538790400,17.07323750855578
USGS-11447650,Nitrogen,NA,30,NA,NA,NA,SACRAMENTO R A FREEPORT CA,USGS-CA,USGS-11447650,38.4560195,-121.5013437,18020163,USGS-CA,USGS California Water Science Center,SACRAMENTO R A FREEPORT CA,Stream,NA,18020163,NA,NA,NA,NA,38.4560195,-121.5013437,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,6,067,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2002-05-22,2019-05-09,535334400,16.963723477070495
CEDEN-403WE0540,Nitrogen,mg/l,6,NA,NA,0.2890000000000001,Piru Creek ~1.9 miles upstream from Cedar Creek.,CEDEN,CEDEN-403WE0540,34.651399999999995,-119.119,18070102,CEDEN,California State Water Resources Control Board,Piru Creek ~1.9 miles upstream from Cedar Creek.,River/Stream,NA,18070102,NA,NA,NA,NA,34.651399999999995,-119.119,NA,NA,NA,Unknown,NAD83,1521,m,NA,NA,Other,UNKWN,US,6,111,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2000-06-21,2017-05-17,533433600,16.90349075975359
CEDEN-309DAV,Nitrogen,mg/l,286,NA,NA,51.04,Salinas River at Davis Road,CEDEN,CEDEN-309DAV,36.6468,-121.70100000000001,18060005,CEDEN,California State Water Resources Control Board,Salinas River at Davis Road,River/Stream,NA,18060005,NA,NA,NA,NA,36.6468,-121.70100000000001,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,053,NA,NA,NA,NA,NA,NA,NA,NA,STORET,1999-02-01,2015-12-09,531792000,16.851471594798088
CEDEN-305PJP,Nitrogen,mg/l,302,NA,NA,14.187,Pajaro River at Porter/Main,CEDEN,CEDEN-305PJP,36.904399999999995,-121.75,18060002,CEDEN,California State Water Resources Control Board,Pajaro River at Porter/Main,River/Stream,NA,18060002,NA,NA,NA,NA,36.904399999999995,-121.75,NA,NA,NA,Unknown,NAD83,NA,NA,NA,NA,NA,NA,US,6,053,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2002-12-11,2019-06-27,522028800,16.542094455852155
CEDEN-403WE0535,Nitrogen,mg/l,6,NA,NA,0.39,Piru Creek 1.7 miles down stream from Lake Piru,CEDEN,CEDEN-403WE0535,34.4396,-118.759,18070102,CEDEN,California State Water Resources Control Board,Piru Creek 1.7 miles down stream from Lake Piru,River/Stream,NA,18070102,NA,NA,NA,NA,34.4396,-118.759,NA,NA,NA,Unknown,NAD83,257,m,NA,NA,Other,UNKWN,US,6,111,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2000-06-13,2016-05-24,503193600,15.945242984257359
USGS-11274538,Nitrogen,mg/l,134,NA,NA,3.3699999999999997,ORESTIMBA CR AT RIVER RD NR CROWS LANDING CA,USGS-CA,USGS-11274538,37.4135466,-121.0160412,18040002,USGS-CA,USGS California Water Science Center,ORESTIMBA CR AT RIVER RD NR CROWS LANDING CA,Stream,NA,18040002,NA,NA,NA,NA,37.4135466,-121.0160412,24000,1,seconds,Interpolated from MAP.,NAD83,65,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,6,099,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2001-10-09,2017-03-06,486172800,15.405886379192337
21NEV1_WQX-NV06-102-M-005,Nitrogen,mg/l,356,NA,NA,0.81,Truckee River @ Farad,21NEV1_WQX,21NEV1_WQX-NV06-102-M-005,39.4212799,-120.03269960000002,16050102,21NEV1_WQX,Nevada Division of Environmental Protection,Truckee River @ Farad,River/Stream,TRUCKEE RIVER LONG TERM MONITORING SITE.  THIS SITE IS SAMPLED MONTHLY BY DRI.  ITS LOCATED ON THE WEST BANK APPROXIMATELY 100 YARDS DOWNSTREAM OF THE FARAD POWER STATION AND IS REACHED VIA THE I-80 FARAD EXIT.,16050102,NA,NA,NA,NA,39.4212799,-120.03269960000002,NA,NA,NA,Unknown,NAD83,5180,ft,NA,NA,Topographic Map Interpolation,SEALV,US,6,057,NA,NA,NA,NA,NA,NA,NA,NA,STORET,1999-01-06,2014-02-13,476668800,15.1047227926078
